pt,title,lokasi,gaji,level,pendidikan,tipePekerjaan,url,posteDate
"PT INDOMOBIL TRADA NASIONAL CBG JAKARTA UTARA","Sales Marketing","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/pemasaran/komunikasi-pemasaran/sales-marketing-pt-indomobil-trada-nasional-cbg-jakarta-utara-jakarta-utara.html,"Posted Date: Maret 13, 2024"
"PT SAWU INDONESIA","Staff Resi Gudang","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/transportation-logistics/warehouse/staff-resi-gudang-pt-sawu-indonesia-jakarta-selatan.html,"Posted Date: Maret 13, 2024"
"PT. Sulammas Perkasa","Staff Administrasi","Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/administrasi/staf-admin/staff-administrasi-pt-sulammas-perkasa-jakarta-barat-2.html,"Posted Date: Maret 12, 2024"
"PT. MACHARA KONSTRUKSITAMA","Pelaksana Sipil","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/konstruksi-dan-bangunan/site-supervisor/pelaksana-sipil-pt-machara-konstruksitama-jakarta-selatan.html,"Posted Date: Maret 7, 2024"
"HJ Collection","Admin Online Shop","Jakarta Timur",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/e-commerce/admin-online-shop-hj-collection-jakarta-timur-2.html,"Updated:  Maret 29, 2024"
"PT Furindo Sakti Sejahtera","Quality Control Staff","Jakarta Barat","Rp.6 – 7 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/pabrik-dan-manufaktur/quality-control-pabrik-dan-manufaktur/quality-control-staff-pt-furindo-sakti-sejahtera-jakarta-barat.html,"Posted Date: Maret 5, 2024"
"PT. DOLPHIN MEGATAMA","Pengurusan Data Entry Document Exim","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/kurir/pengurusan-data-entry-document-exim-pt-dolphin-megatama-jakarta-barat.html,"Posted Date: Maret 4, 2024"
"PT. PERSADA ASRI MANDIRI","Digital Marketing","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/pemasaran-digital/digital-marketing-pt-persada-asri-mandiri-jakarta-barat.html,"Updated:  April 17, 2024"
"PT Permata Selaras Karya Mandiri","Perangkai Bunga","Jakarta Selatan","Rp.4 – 5 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/pekerjaan-umum/florist/perangkai-bunga-pt-permata-selaras-karya-mandiri-jakarta-selatan.html,"Posted Date: Maret 2, 2024"
"PT SUN LOGISTICS","Finance Staff","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/finance-staff-pt-sun-logistics-jakarta-utara-2.html,"Posted Date: Maret 2, 2024"
"LACH AND MARGOT","Staff Gudang","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/warehouse/staff-gudang-lach-and-margot-jakarta-utara.html,"Posted Date: Maret 1, 2024"
"PT. SURYA KREASI PRATAMA","Staff Finance","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-finance-pt-surya-kreasi-pratama-jakarta-barat.html,"Posted Date: Maret 1, 2024"
"BROOASTER CHICKEN","Staff Maintenance","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/teknik/elektro/staff-maintenance-brooaster-chicken-jakarta-utara.html,"Posted Date: Februari 29, 2024"
"NICOLE PACK","Admin Gudang DO","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/admin-gudang-do-nicole-pack-jakarta-barat.html,"Posted Date: Februari 29, 2024"
