pt,title,lokasi,gaji,level,pendidikan,tipe_pekerjaan,description,link,post_date
"PT. Citra Indojaya Perkasa","Staff HR Admin","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. Citra Indojaya Perkasa yang berlokasi di Jakarta Utara saat ini membutuhkan tenaga Staff HR Admin yang memiliki kualifikasi dan kompetensi di bidangnya

Tanggung Jawab Pekerjaan :

Membuat laporan absensi karyawan
Menghitung absensi karyawan
Mengelola data karyawan secara akurat dan rapi di sistem informasi SDM atau basis data lainnya
Rekrutmen dan pencocokan dengan tawaran pekerjaan.
Pelaksanaan kegiatan kontak dan koordinasi.
Membuat kontrak kerja bagi karyawan baru perusahaan.
Menyiapkan daftar hadir atau absensi karyawan perusahaan.
Mempersiapkan berbagai jenis surat internal serta surat keluar.
Membuat pembaruan pada catatan perusahaan

Keahlian :

Menguasai rumus-rumus perhitungan MS-Excell
Mengerti Bahasa Inggris

Kualifikasi :

Pria/Wanita
Usia max. 28 tahun
Pendidikan Min. SMU/SMK
Berpengalaman lebih diutamakan
Diutamakan bisa mengendarai kendaraan motor dan memiliki SIM yang aktif
Siap mobile ke area penempatan kerja

Waktu Bekerja :
Senin – Jum’at pukul 08:00 – 17:00, Sabtu pukul 08:00 – 13:00
Tunjangan :

THR, Transport, BPJS

Insentif :

Insentif bila memenuhi achievment",https://www.loker.id/human-resources/staf-hrd/staff-hr-admin-pt-citra-indojaya-perkasa-jakarta-utara.html,"Updated:  April 18, 2024"
fomu,"Sales Marketing","Jakarta Barat","Rp.10 – 12 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","FOMU merupakan perusahaan (PT.) yang bergerak di bidang teknologi 3D printing. Saat ini sedang membutuhkan Staff Sales Marketing yang akan melakukan pemasaran produk custom 3D print.

Tanggung Jawab Pekerjaan :

1.	Melakukan pemasaran untuk penjualan produk custom 3D print
2.	Mencapai target penjualan bulanan dan tahunan penjualan produk
3.	Membina hubungan baik dengan customer
4.	Memberikan informasi yang tepat mengenai produk & promosi kepada customer
5.	Membuat laporan target harian dan bulanan
6.	Membuat rencana penjualan

Keahlian :

1.	Mampu berkerja dengan target
2.	Memiliki kemampuan selling, komunikasi, & negosiasi yang baik
3.	Memiliki kreatifitas dan strategi yang bagus dalam mempromosikan produk

Kualifikasi :

1.	Usia Maksimal 40 Tahun
2.	Pendidikan terakhir minimum SMA/SMK
3.	Minimal memiliki kendaraan motor sendiri SIM C
3.	Pengalaman di bidang pemasaran/penjualan

Waktu Bekerja :
Senin – Jumat pk. 09.00-17.00 dan Sabtu 09.00-14.00",https://www.loker.id/pemasaran/komunikasi-pemasaran/sales-marketing-fomu-jakarta-barat.html,"Updated:  April 18, 2024"
"Inti Sentosa Bersama","Staff Admin Kantor","Jakarta Pusat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","Tanggung Jawab Pekerjaan :

Menyusun laporan keuangan
Membuat invoice
Menginput keluar masuk barang. 

Keahlian :

Menguasai ketrampilan microsoft Office

Kualifikasi :

Pria dan Wanita minimal pengalaman 1 tahun (fresh graduate silahkan melamar)

Waktu Bekerja :
Senin sampai Sabtu, Jam 09.00 sampai 18.00",https://www.loker.id/administrasi/staf-admin/staff-admin-kantor-inti-sentosa-bersama-jakarta-pusat.html,"Posted Date: Maret 21, 2024"
"PT. SURYA KREASI PRATAMA","Sales Marketing","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT. Surya Kreasi Pratama merupakan perusahaan yang bergerak di industri penerbitan / Percetakan. Kami saat ini sedang membutuhkan Staff Sales marketing yang kompeten dibidangnya dan bertugas untuk melakukan penjualan produk kepada customer.

Tanggung Jawab Pekerjaan :

– Menawarkan produk kepada customer
– Membangun hubungan yang baik dengan customer

Keahlian :

– Memiliki kemampuan negosiasi dan komunikasi yang baik
– Menguasai program ms office, email dan WA
– Mampu menguasai produk

Kualifikasi :

– Pria/ Wanita, Diutamakan pria maksimum 35 tahun
– Memiliki kendaraan pribadi untuk canvasing
– Minimum lulusan SMU dan memliki SKCK yang masih berlaku",https://www.loker.id/ritel/asisten-ritel/sales-marketing-pt-surya-kreasi-pratama-jakarta-barat.html,"Posted Date: Maret 21, 2024"
"TOKO ABDULLAH MUSTAFA CENTRE","Staff Multimedia","Jakarta Pusat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","Berperan dalam bidang multimedia terutama penyiaran
Membuat Berbagai Foto Product Design yang Menarik dan Kreatif
Membuat Berbagai Video Product Design yang Menarik dan Kreatif
Full dalam Create Conten Menarik
Masuk dalam Team Promosi Yaitu Sosmed dan Marketplace Ex: IG,FB,Tiktok,Shopee

Tanggung Jawab Pekerjaan :

Membantu Seluruh Team Online Seluruh Cabang
Koreksi dalam kesalahan Conten yang kurang Menarik Seluruh Cabang
Membuat Hasil Design Foto Video yang Kreatif dan Memiliki Nilai Jual
Membantu dalam hal Penjualan dan Marketing

Keahlian :

Berpengalaman membuat design 2D/3D
Menguasai Adobe Photoshop, Adobe Illustrator, Adobe Indesign (adobe family), Canva, Corel Draw, Macromedia freehand
Editing Video

Kualifikasi :

Pria / Wanita
Domisli (Jakarta)
Memiliki Pengalaman Min 1 Tahun dalam Dunia Grafis dan Video
Penahan Ijazah saat bekerja

Waktu Bekerja :
Jam 8.00 – 17.00",https://www.loker.id/desain-arsitektur/grafis/staff-multimedia-toko-abdullah-mustafa-centre-jakarta-pusat.html,"Posted Date: Maret 21, 2024"
"PT. TOMYPAK MAKMUR","Maintenance Staff","Jakarta Barat","Rp.6 – 7 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. TOMYPAK MAKMUR sedang membutuhkan Maintenance. Silahkan ajukan lamaran melalui website ini jika kamu merupakan kandidat potensial yang sesuai dengan kualifikasi dan persyaratan berikut:

Tanggung Jawab Pekerjaan :

1. Merawat semua peralatan kerja yang ada (AC Split).
2. Memperbaiki setiap kerusakan yang ada pada peralatan kerja.
3. Berkoordinasi dengan team di lapangan supaya semua kegiatan berjalan dengan lancar, tidak ada hambatan dari masalah peralatan kerja.

Keahlian :

1. Memiliki keahlian menangani AC Split
2. Terbiasa mengoperasikan komputer dan perangkat penunjang ( Ms. Office, Auto Cad, Solid Works, FluidSIM)

Kualifikasi :

1. Pria
2. Fresh Graduate dipersilahkan melamar
3. Memiliki kemampuan komunikasi dan negosiasi yang baik
4. Memiliki ketelitian dan bekerja dengan team baik internal maupun antar departement
5.  Bersedia bekerja di hari Sabtu ( paruh hari )
6.  Bersedia ditempatkan di Tangerang

Waktu Bekerja :
Senin – Jumat 08.00 – 16.00/Sabtu 08.00-13.00
Tunjangan :

Uang Makan,
Insentif,
THR,
Asuransi jaminan kesehatan,
Kenaikan jabatan.",https://www.loker.id/teknik/hvac/maintenance-staff-pt-tomypak-makmur-jakarta-barat.html,"Posted Date: Maret 19, 2024"
"RIFFY GROUP","Staff Social Media","Jakarta Timur","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. Riff Religi Travelindo dengan merk dagang Riffy Travel yang bergerak di bidang umroh yang sudah memiliki Izin Kemenag No. U119 Tahun 2021. Saat ini membuka lowongan staff social media di Riffy Travel.
Kami akan memilih kandidat yang berdomisili terjangkau dengan lokasi kantor kami.

Tanggung Jawab Pekerjaan :

Membuat rancangan konten
Membuat konten social media (Tiktok & Instagram)
Melakukan update rutin di social media
Menjadi host di Live Tiktok / Instagram
Menjadi host di Zoom Meeting

Keahlian :

Memahami trend social media
Menguasai video editing mobile (minimal Capcut)
Memiliki kemampuan public speaking yang baik

Kualifikasi :

Wanita
Umur Maksimal 28 Tahun
Memiliki Kendaraan Bermotor Roda 2
Fresh graduate silahkan melamar

Waktu Bekerja :
Senin – Jumat 09:00 – 17:00, Sabtu 09:00 – 13:00 / Minggu 09:00 – 13:00 (Rolling Shift)
Tunjangan :

Take Home Pay (sudah termasuk tunjangan uang makan dan uang transport)

Insentif :

Bonus jika mengikuti tugas luar kantor seperti melayani manasik, seminar atau keberangkatan jamaah di bandara Soekarno Hatta",https://www.loker.id/pemasaran/pemasaran-digital/staff-social-media-riffy-group-jakarta-timur.html,"Updated:  Maret 26, 2024"
"PT. PAMACO BINAR SANTOSA","Staff Sales","Jakarta Pusat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. PAMACO BINAR SANTOSA sedang membuka lowongan untuk Staff Sales / Marketing.

Tanggung Jawab Pekerjaan :

– Berkomunikasi dengan pelanggan.
– Membuat Penawaran harga.
– Follow up dengan pelanggan.
– Proses PO dan persiapan barang.
– Input data penjualan.

Keahlian :

– Memiliki pengertian, karakteristik dan prinsip dasar sebagai Sales.
– Bisa menggunakan Computer.
– Menguasai MS Office.
Nilai Tambah:
– Mengerti tentang penjualan On-Line.
– Mengerti Social Media Marketing.
– Bisa berbahasa Inggris dan/atau Mandarin.

Kualifikasi :

– Pria/Wanita
– Usia minimal 23 Tahun.
– Pengalaman minimal 1 tahun
– Pendidikan Minimal SMA/SMK",https://www.loker.id/penjualan/akun-dan-relasi/staff-sales-pt-pamaco-binar-santosa-jakarta-pusat.html,"Posted Date: Maret 18, 2024"
"Confidential Company","Accounting Staff","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","Tanggung Jawab Pekerjaan :

Finacial report, tax report

Keahlian :

Microsoft Office, Accurate system, Taxx report, Accounting report, Mandarin language is preferable

Kualifikasi :

•	Female maks 30 years
•	Fresh Graduates is preferable
•	IPK min  :3.0
•	Domicile Jakarta Kota Area

Waktu Bekerja :
Monday-Saturday",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/accounting-staff-confidential-company-jakarta-barat-2.html,"Posted Date: Maret 15, 2024"
"PT. Genpower Total Energi","Staff Admin","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. Genpower Total Energi saat ini sendang mencari kandidat untuk ditempatkan sebagai Staff Admin di Jakarta.

Tanggung Jawab Pekerjaan :

1. Membuat laporan secara berkala
2. Menguasai skop Administrasi perkantoran
3. Membeli perlengkapan/keperluan kantor
4. Mengatur jadwal perjalanan
5. Menyiapkan laporan dan presentasi
6. Surat meyurat

Keahlian :

1. Dapat berbahasa Inggris baik lisan dan tulisan
2. Dapat berkomunikasi dengan baik
3. Menguasai Microsoft Office, Power Point, Photoshop, Corel Draw + internet
4. Menguasai pengarsipan dokumen dan administrasi

Kualifikasi :

1. Memiliki pengalaman 2 – 3 tahun.
2. Pendidikan minimal SMA

Waktu Bekerja :
Senin – Jum’at, 09:00 – 18:00",https://www.loker.id/administrasi/staf-admin/staff-admin-pt-genpower-total-energi-jakarta-selatan.html,"Posted Date: Maret 14, 2024"
"PT INDOMOBIL TRADA NASIONAL CBG JAKARTA UTARA","Sales Marketing","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT INDOMOBIL TRADA NASIONAL BERGERAK DI BIDANG OTOMOTIF SEDANG MEMBUTUHKAN STAFF MARKETING .

Tanggung Jawab Pekerjaan :

– MENJUAL PRODUK MOBIL
– MELAKUKAN TRANSAKSI PENJUALAN
– FOLLOW UP CUSTOMER
– MEMBUAT IKLAN PENJUALAN
– MENGIKUTI PAMERAN2 YG DI TENTUKAN 

Keahlian :

BERKOMUNIKASI DENGAN BAIK
BERPENGALAMAN DI BIDANG MARKETING DI UTAMAKAN
BISA MENGOPRASIKAN SOSIAL MEDIA

Kualifikasi :

– PRIA/WANITA
– MIN SMA/SMK
– USIA 18-40
– BERPENGALAMAN DI BIDANG MARKETING DI UTAMAKAN",https://www.loker.id/pemasaran/komunikasi-pemasaran/sales-marketing-pt-indomobil-trada-nasional-cbg-jakarta-utara-jakarta-utara.html,"Posted Date: Maret 13, 2024"
"PT SAWU INDONESIA","Staff Resi Gudang","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","Tanggung Jawab Pekerjaan :

Mencari prospek-prospek customer Resi Gudang
Melakukan survey ke gudang-gudang
Menyusun laporan ke Dirut

Keahlian :

Megnguasai Resi Gudang dari BAPPEPTI

Kualifikasi :

Pria
Memiliki pengalaman di bidang resi gudang

Waktu Bekerja :
09.00 S/D 17.00",https://www.loker.id/transportation-logistics/warehouse/staff-resi-gudang-pt-sawu-indonesia-jakarta-selatan.html,"Posted Date: Maret 13, 2024"
"PT. Sulammas Perkasa","Staff Administrasi","Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time","PT Sulammas Perkasa sedang mencari stadd administrasi.
Lokasi kantor: Jelambar

Tanggung Jawab Pekerjaan :

– Membuat Sales Order, Purchase Order, Delivery Order
– Berhubungan dengan vendor untuk urusan Purchase Order
– Mengelola dokumen kantor
– Mengarsip dan merekap data yang masuk
– Menyiapkan dan memastikan segala perlengkapan dan peralatan kantor
– Membuat laporan secara berkala
– Mengumpulkan dan Menyusun dokumen, invoice, dll
– Menbuat jurnal atas operasional

Keahlian :

Menguasai Excel, Microsoft office
Bisa berbahasa Inggris (pasif)

Kualifikasi :

Wanita
Familiar dengan komputer
Cepat belajar, jujur, cekatan, teliti, berdisiplin tinggi, berinisiatif dan bertanggung jawab
Mampu bekerja dibawah tekanan dan dapat bekerja secara individual dan dalam tim
Lokasi: Jelambar

Waktu Bekerja :
08:00-16:30 Senin-Jumat; 08:00-14:30 Sabtu",https://www.loker.id/administrasi/staf-admin/staff-administrasi-pt-sulammas-perkasa-jakarta-barat-2.html,"Posted Date: Maret 12, 2024"
"PT. MACHARA KONSTRUKSITAMA","Pelaksana Sipil","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT MACHARA KONSTRUKSITAMA bergerak dibidang konstruksi bangunan membutuhkan beberapa staff pelaksana Sipil yang akan bertugas merencanakan, mendesain dan mengawasi konstruksi dan pemeliharaan struktur bangunan

Tanggung Jawab Pekerjaan :

1. Melakukan Survei
2. Melakukan Koordinasi dengan Mandor
3. Mempersiapkan Dokumen
4. Mengurus Perizinan
5. Melakukan Sosialisasi Proyek 

Keahlian :

– dapat membaca RAB
– dapat memahami gambar
– menguasai MS. Office

Kualifikasi :

a. Laki – laki / wanita diutamakan umur maksimal 28 tahun
b. Bersedia ditempatkan setiap site di seluruh Indonesia
c. Pengalaman minimal 1 tahun

Waktu Bekerja :
jam 8 s/d 17 Senin – Sabtu",https://www.loker.id/konstruksi-dan-bangunan/site-supervisor/pelaksana-sipil-pt-machara-konstruksitama-jakarta-selatan.html,"Posted Date: Maret 7, 2024"
"HJ Collection","Admin Online Shop","Jakarta Timur",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","Kami bergerak di bidang Online , membutuhkan staff yang bisa memproses orderan, mengupdate stok, dan mengupload barang

Tanggung Jawab Pekerjaan :

Memproses Orderan
Mengedit foto produk
mengoperasikan seller center (bisa diajarkan)
Menyatat dan mendata stok barang

Keahlian :

Bisa mengoperasikan komputer dan hp dengan lancar

Kualifikasi :

Perempuan
Fresh graduate silahkan melamar

Waktu Bekerja :
jam 8 – 17.00 senin-sabtu / minggu jika diperlukan",https://www.loker.id/penjualan/e-commerce/admin-online-shop-hj-collection-jakarta-timur-2.html,"Updated:  Maret 29, 2024"
"PT Furindo Sakti Sejahtera","Quality Control Staff","Jakarta Barat","Rp.6 – 7 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT Furindo Sakti Sejahtera sedang mencari kandidat terbaik untuk mengisi posisi Quality Control Staff. 

Tanggung Jawab Pekerjaan :

1. Periksa fisik dan fungsional barang hasil produksi secara harian.
2. Memastikan proses produksi sesuai SOP.
3. Memeriksa dan melaporkan kelancaran dan kebersihan produksi. 

Keahlian :

1. Mampu melakukan pemeriksaan secara detail. 

Kualifikasi :

1. Tidak buta warna.
2. Tidak rabun jauh atau rabun dekat.
3. Bersedia di promosi (naik jabatan) atau demosi (turun jabatan).
4. Pendidikan minimal SMA/SMK dengan pengalaman sebagai QC.",https://www.loker.id/pabrik-dan-manufaktur/quality-control-pabrik-dan-manufaktur/quality-control-staff-pt-furindo-sakti-sejahtera-jakarta-barat.html,"Posted Date: Maret 5, 2024"
"PT. DOLPHIN MEGATAMA","Pengurusan Data Entry Document Exim","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time","PT. Dolphin Megatama bergerak di Bidang Transportasi Angkutan Darat untuk pengurusan Export Cargo dan; Expedisi Muatan Kapal  Laut. Kami membuka Lowongan Untuk Ditempatkan Dibagian Staff Messenger Doc Exim , yang benar- benar Berkompetiten  Di Bidangnya. Kami memberikan Kesempatan bagi Yang ingin berniat bekerja keras ,yang dapat diberikan tugas dengan baik dan bertanggung jawab atas pekerjaan yang diberikan sesuai aturan management diperusahaan kami.

Tanggung Jawab Pekerjaan :

– Melakukan Pengiriman Document Export -import di Tanjung Priok & Office

Keahlian :

1.) mengetahui wilayah jabodetabek
2.) mengerti komputer & Microsoft officed

Kualifikasi :

Pria, mempunyai kendaraan bermotor sendiri dan SIM
Berpengalaman dibidangnya minimal 1tahun

Waktu Bekerja :
senin s/d jumat dari jam 09:00 sampai jam 17:00
Tunjangan :

Uang makan dan uang transport and service motor

Insentif :

Uang kerajinan dan bonus project",https://www.loker.id/transportation-logistics/kurir/pengurusan-data-entry-document-exim-pt-dolphin-megatama-jakarta-barat.html,"Posted Date: Maret 4, 2024"
"PT. PERSADA ASRI MANDIRI","Digital Marketing","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. PERSADA ASRI MANDIRI (FLOMART) yang bergerak di bidang perdagangan bunga potong segar di Indonesia, yang berlokasi di Kebon Jeruk, Jakarta Barat, membutuhkan Staff Admin Digital Marketing.

Tanggung Jawab Pekerjaan :

Buat konten tertulis, visual, dan multimedia yang menarik untuk media sosial, situs web, dan kampanye email.
Berkolaborasi dengan tim kreatif untuk bertukar pikiran dan mengembangkan ide konten yang selaras dengan pesan merek dan preferensi audiens target.
Optimalkan konten untuk SEO dan keterlibatan pengguna, termasuk riset kata kunci, tag meta, dan struktur konten. Kelola kalender konten dan tenggat waktu untuk Memastikan pengiriman tepat waktu, konten berkualitas tinggi.
Mengikuti perkembangan praktek terbaik pemasaran digital dan trend baru dalam pembuatan dan distribusi konten.
Melakukan pemasaran dan branding produk secara digital.
Menyusun rencana promosi produk.
Membuat konsep dan konten di berbagai platform sosial media yang digunakan.
Membuat laporan dan menganalisa performa sosial media secara berkala

Keahlian :

Menguasai software Adobe (Adobe Premier, Photoshop, Ilustration, dsb).
Mampu membuat konten yang relevan dengan trend di sosial media (Instagram, TikTok)
Memiliki kemampuan copywriting.
Mampu mengatur waktu dengan baik untuk memenuhi deadline.
Teliti, jujur dan dapat bekerja dengan baik dalam tim.

Kualifikasi :

1. Pria / Wanita umur 20-30 tahun
2. Minimal lulusan SMK media informatika/setara atau D3, S1 (Fresh Graduate)
3. Punya SIM A/C
4. Memiliki kendaraan pribadi
5. Pengalaman kerja di bidang digital marketing akan menjadi nilai tambah.

Tunjangan :

Uang makan & transport.
Uang kerajinan.
BPJS
THR

Insentif :

Uang lembur",https://www.loker.id/pemasaran/pemasaran-digital/digital-marketing-pt-persada-asri-mandiri-jakarta-barat.html,"Updated:  April 17, 2024"
"PT Permata Selaras Karya Mandiri","Perangkai Bunga","Jakarta Selatan","Rp.4 – 5 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time","PT. PSKM (Windy Fowers) bergerak di bidang jasa rangkaian bunga & dekorasi membutuhkan staff Perangkai Bunga yang sudah perpengalaman di bidangnya.

Tanggung Jawab Pekerjaan :

–	Merangkai bunga dengan baik dan tepat
–	Dapat merangkai bunga sesuai permintaan pesanan dan/atau kreasi
–	Teliti dalam membaca permintaan yang diminta oleh pelanggan
–	Mengontrol dan memilih kualitas bahan-bahan untuk merangkai bunga

Keahlian :

–	Dapat berkreasi merangkai bunga dengan bunga & budget yang minim.
–	Dapat berkomunikasi dengan baik

Kualifikasi :

–       Wanita/Pria usia min. 24 tahun.
–	Bertanggung jawab dan memiliki insiatif dalam bekerja.
–	Dapat bekerja lembur, pulang malam, dengan waktu kerja yang tidak tentu.
–	Bersedia masuk pada hari Minggu, Libur Nasional.
–	Bersedia masuk kerja jika diperlukan pada waktu Libur.
–	Bersedia datang lebih awal jika diperlukan.
–	Berdomisili di daerah Jakarta Selatan/Jakarta Barat.

Tunjangan :

BPJS Kesehatan & BPJS Ketenagakerjaan",https://www.loker.id/pekerjaan-umum/florist/perangkai-bunga-pt-permata-selaras-karya-mandiri-jakarta-selatan.html,"Posted Date: Maret 2, 2024"
"PT SUN LOGISTICS","Finance Staff","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","Established in 2011, PT. Sun Logistics came as a solution for the high logistics demands in Indonesia. PT. Sun Logistics has grown into a responsive and competent logistics company according to founder of PT. Sun Logistics who wants to provide fast, friendly, and continuously innovating services.
Currently, PT. Sun Logistics has increased our business network by having a large number of Experts, Warehouses and Vehicles ready to serve export-import cargo shipments, domestic shipments, and other logistics needs.

Tanggung Jawab Pekerjaan :

1. Bertanggungjawab atas seluruh transaksi keuangan perusahaan
2. Memproses dan mengarsipkan seluruh dokumen tagihan (pembayaran, pajak, dll)
3. Merekap pengeluaran dan pemasukan perusahaan
4. Membuat laporan keuangan harian, mingguan, dan bulanan
5. Mengelola Petty Cash

Keahlian :

1. Accurate
2. Menguasai Microsoft Office (Word, Excel, Outlook, Power Point)
3. Memiliki pengetahuan di bidang Finance, Tax, Perbankan, dan Accounting

Kualifikasi :

1. Usia maksimal 35 tahun
2. Lulusan minimal SMA/sederajat
3. Berpengalaman di bidang terkait minimal 1 tahun
4. Dapat berkomunikasi dengan baik dan mampu bekerja secara individu maupun dalam tim
5. Berdomisili di Jakarta Utara dan sekitarnya (Kelapa Gading)
6. Telah melakukan vaksinasi ketiga/booster COVID-19",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/finance-staff-pt-sun-logistics-jakarta-utara-2.html,"Posted Date: Maret 2, 2024"
"LACH AND MARGOT","Staff Gudang","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time","Lach n Margot adalah perusahaan dagang dalam bidang fashion luxudy goods yang berdiri sejak tahun 2021. saat ini kami membuka lowongan kerja untuk mengisi posisi sebagai staff gudang

Tanggung Jawab Pekerjaan :

– Menyiapkan barang sesuai dengan orderan setriap hari nya
– Merapihkan kembali barang-barang ke tempat semula
– Menguasai Produk Knowledge / apa saja produk yg perusahaan miliki
– Membalas hp admin gudang dengan responsif
– Melakukan stok opname setiap hari nya

Keahlian :

– Dapat mengoperasikan Komputer
– Memiliki Skill Merapihkan barang / STOK
– dapat berkomunikasi dengan Internal Team dan Team lain nya.

Kualifikasi :

– Pria/ Wanita
– 20tahun- Max 30
– Pengalaman minimal 2 tahun

Waktu Bekerja :
senin-sabtu dari pkl 9pagi – 5.30 sore
Tunjangan :

Uang Makan 

Insentif :

Bonus ABSENSI
Bonus Kerajinan",https://www.loker.id/transportation-logistics/warehouse/staff-gudang-lach-and-margot-jakarta-utara.html,"Posted Date: Maret 1, 2024"
"PT. SURYA KREASI PRATAMA","Staff Finance","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. Surya Kreasi Pratama is a professional graphic desgin and printing company that works closely with clients, now we are hiring for finance staff position, responsible for accounting for various forms of revenue and expenses for a company.

Tanggung Jawab Pekerjaan :

– Menginput PO
– Release DO dan invoice
– Follow up PO dengan customer
– Dokumentasi kelengkapan invoice dan berkas
– Upload efaktur
– Rekonsiliasi pembayaran
– Penginputan kas
– Forecast jadwal pembayaran

Keahlian :

– Menguasai accurate V
– Menguasai excel dan word
– Dapat berkomunikasi dengan customer dan tim

Kualifikasi :

– Perempuan
– Memiliki pengalaman sebagai staff finance  min 3 tahun
– Pendidikan minimal SMA",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-finance-pt-surya-kreasi-pratama-jakarta-barat.html,"Posted Date: Maret 1, 2024"
"BROOASTER CHICKEN","Staff Maintenance","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT. Usaha Sari Boga ( Restoran Brooaster Chicken ) sedang membutuhkan sedang membutuhkan Staff Maintenance  Restoran yang bertugas untuk memperbaiki mesin – mesin pendingin, mesin equipment yang digunakan di restoran.

Tanggung Jawab Pekerjaan :

– Memperbaiki mesin – mesin pendingin, mesin equipment yang digunakan di restoran
– Memperbaiki dan mampu melakukan instalasi listrik tegangan rendah sesuai dengan standard kelistrikan.

Keahlian :

– Memahami perbaikan dan pemeliharaan mesin – mesin dan pendingin atat – alat equipment restoran ( fryer, chiller dll )
– Memahami kelistrikan, tegangan ( volt ) dan arus listrik

Kualifikasi :

1. Pria
2. Usia max. 35 tahun
3. Lulusan min SMK/D3/sederajat Teknik listrik, Teknik mesin ,Tehnik Elektro
4. Berpengalaman di bidangnya minimal 2 tahun
5. Mengerti tentang listrik
6. Bekerja di hari libur

Waktu Bekerja :
Senin – Minggu ( dalam 1 minggu off 1 hari )
Tunjangan :

– Transport ( klaim )
– BPJS Ketenagakerjaan
– BPJS Kesehatan",https://www.loker.id/teknik/elektro/staff-maintenance-brooaster-chicken-jakarta-utara.html,"Posted Date: Februari 29, 2024"
"NICOLE PACK","Admin Gudang DO","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","Nicole Pack perusahaan yang bergerak di bidang pembuatan packaging dari kertas, selain menjual packaging di marketplace, kami juga melayani custom packaging sesuai kebutuhan customer

Tanggung Jawab Pekerjaan :

1.	Print Out DO yang sudah dibuat oleh admin DO setelah itu menyerahkan DO ke staff gudang untuk diperiksa ketersediaan barang  & proses penyiapan barang
2.	Memastikan DO yang sudah diserahkan ke staff gudang, kembali lagi ke admin gudang DO untuk defiling & diinput ke sistem oleh admin gudang OUT
3.	Melakukan proses input barang ke sistem ERP atas penerimaan barang di gudang
4.	Melakukan proses input & update setiap hari atas penerimaan barang di gudang sesuai rak barang yang sudah ditentukan
5.	Membuat rekapan DO yang belum terproses karena barang belum full ada sesuai qty DO yang dibutuhkan dan mengklasifikasikannya sebagai DO PENDING
6.	Membuat sticker alamat customer sesuai DO sebanyak yang dibutuhkan untuk ditempel pada fisik barang yang akan dikirim ke customer

Keahlian :

1.	Menguasai excel
2.	Menguasai sistem ERP
3.	Menguasai basic proses produksi
4.	Memiliki basic berhitung yang baik
5.	Memiliki kemampuan menganalisa yang baik

Kualifikasi :

1.	Pria / Wanita, maksimal usia 30 Tahun
2.	Pendidikan min SMA/SMK atau sederajat
3.	Minimal memiliki 2 tahun pengalaman kerja sebagai staff gudang
4.	Memiliki kemampuan menganalisa data & angka dengan baik
5.	Siap Bekerja Segera
8.	Penempatan kerja di Cengkareng, Jakarta Barat

Waktu Bekerja :
Senin – Jumat 08:00 – 17:00, Sabtu 08:00 – 15:00",https://www.loker.id/administrasi/staf-admin/admin-gudang-do-nicole-pack-jakarta-barat.html,"Posted Date: Februari 29, 2024"
